dimension,vertices,ave_degree,epsilon,fptas_mosp
60, 1200, 8, 0.8, 561
60, 1200, 8, 0.8, 321
60, 1200, 8, 0.8, 370
60, 1200, 8, 0.8, 207
60, 1200, 8, 0.8, 197
60, 1200, 8, 0.8, 208
60, 1200, 8, 0.8, 2823
60, 1200, 8, 0.8, 120968
60, 1200, 8, 0.8, 4785
60, 1200, 8, 0.8, 236
60, 1200, 8, 0.8, 200
60, 1200, 8, 0.8, 218
60, 1200, 8, 0.8, 25379
60, 1200, 8, 0.8, 2613
60, 1200, 8, 0.8, 6600
60, 1200, 8, 0.8, 247
60, 1200, 8, 0.8, 197
60, 1200, 8, 0.8, 256
60, 1200, 8, 0.8, 227
60, 1200, 8, 0.8, 214
60, 1200, 8, 3.2, 267
60, 1200, 8, 3.2, 3589
60, 1200, 8, 3.2, 333
60, 1200, 8, 3.2, 200
60, 1200, 8, 3.2, 13457
60, 1200, 8, 3.2, 2863
60, 1200, 8, 3.2, 198
60, 1200, 8, 3.2, 668
60, 1200, 8, 3.2, 7341
60, 1200, 8, 3.2, 216
60, 1200, 8, 3.2, 195
60, 1200, 8, 3.2, 215
60, 1200, 8, 3.2, 217
60, 1200, 8, 3.2, 331
60, 1200, 8, 3.2, 2668
60, 1200, 8, 3.2, 1228
60, 1200, 8, 3.2, 845
60, 1200, 8, 3.2, 230
60, 1200, 8, 3.2, 209
60, 1200, 8, 3.2, 1567
60, 1200, 8, 12.8, 528
60, 1200, 8, 12.8, 249
60, 1200, 8, 12.8, 3052
60, 1200, 8, 12.8, 1640
60, 1200, 8, 12.8, 2661
60, 1200, 8, 12.8, 206
60, 1200, 8, 12.8, 251
60, 1200, 8, 12.8, 2152
60, 1200, 8, 12.8, 185
60, 1200, 8, 12.8, 967
60, 1200, 8, 12.8, 469
60, 1200, 8, 12.8, 730
60, 1200, 8, 12.8, 3997
60, 1200, 8, 12.8, 445
60, 1200, 8, 12.8, 1982
60, 1200, 8, 12.8, 193
60, 1200, 8, 12.8, 185
60, 1200, 8, 12.8, 229
60, 1200, 8, 12.8, 227
60, 1200, 8, 12.8, 8607
60, 1200, 8, 51.2, 193
60, 1200, 8, 51.2, 405
60, 1200, 8, 51.2, 370
60, 1200, 8, 51.2, 211
60, 1200, 8, 51.2, 209
60, 1200, 8, 51.2, 250
60, 1200, 8, 51.2, 698
60, 1200, 8, 51.2, 1588
60, 1200, 8, 51.2, 703
60, 1200, 8, 51.2, 2109
60, 1200, 8, 51.2, 3053
60, 1200, 8, 51.2, 2140
60, 1200, 8, 51.2, 286
60, 1200, 8, 51.2, 1854
60, 1200, 8, 51.2, 193
60, 1200, 8, 51.2, 1187
60, 1200, 8, 51.2, 867
60, 1200, 8, 51.2, 393
60, 1200, 8, 51.2, 226
60, 1200, 8, 51.2, 191
60, 1200, 8, 204.8, 581
60, 1200, 8, 204.8, 204
60, 1200, 8, 204.8, 197
60, 1200, 8, 204.8, 243
60, 1200, 8, 204.8, 231
60, 1200, 8, 204.8, 1351
60, 1200, 8, 204.8, 189
60, 1200, 8, 204.8, 486
60, 1200, 8, 204.8, 651
60, 1200, 8, 204.8, 420
60, 1200, 8, 204.8, 1311
60, 1200, 8, 204.8, 403
60, 1200, 8, 204.8, 237
60, 1200, 8, 204.8, 283
60, 1200, 8, 204.8, 867
60, 1200, 8, 204.8, 222
60, 1200, 8, 204.8, 292
60, 1200, 8, 204.8, 488
60, 1200, 8, 204.8, 189
60, 1200, 8, 204.8, 435
60, 1200, 8, 819.2, 468
60, 1200, 8, 819.2, 221
60, 1200, 8, 819.2, 211
60, 1200, 8, 819.2, 575
60, 1200, 8, 819.2, 406
60, 1200, 8, 819.2, 216
60, 1200, 8, 819.2, 847
60, 1200, 8, 819.2, 603
60, 1200, 8, 819.2, 492
60, 1200, 8, 819.2, 469
60, 1200, 8, 819.2, 303
60, 1200, 8, 819.2, 827
