dimension,vertices,ave_degree,epsilon,time_mosp,time_fptas,eval_mosp,eval_fptas
8, 1000, 4, 19.6, 741, 31, 1779603976101184605286960335482925799328534755789546387416394740826633191028741145782116485657733585211540959229544114059009258157689204465182506982092199042481857929594733423939751982583172595149206089981592492430223331537060474233900468791945213168057273064043149713004966560270000464246571, 1779603976101184605286960335482925799328534755789546387416394740826633191028741145782116485657733585211540959229544114059009258157689204465182506982092199042481857929594733423939751982583172595149206089981592492430223331537060474233900468791945213168057273064043149713004966560270000464246571
8, 1000, 4, 19.6, 489, 19, 175184158268750782581642743310563164478341883226742691248885381826746386566003235109944247914375068472118463518524776787061940953081999478646031421589673630647282468305253680413257877061709172944471266135378709955990638337027969115748488910599315051392642597970487375225440, 175184158268750782581642743310563164478341883226742691248885381826746386566003235109944247914375068472118463518524776787061940953081999478646031421589673630647282468305253680413257877061709172944471266135378709955990638337027969115748488910599315051392642597970487375225440
8, 1000, 4, 19.6, 485, 22, 33887292954240825229816005930217516800496870861507787428378889429836535981178503727889484829912334489951004786107684562381295641605379735172670709504993091556666853260584854405671822754233581647031850543591261227319426585234403082951956222846147916056374825309091015919207656230027830, 33887292954240825229816005930217516800496870861507787428378889429836535981178503727889484829912334489951004786107684562381295641605379735172670709504993091556666853260584854405671822754233581647031850543591261227319426585234403082951956222846147916056374825309091015919207656230027830
8, 1000, 4, 19.6, 413, 24, 4028451743536848177108009703901100979228530815586950045560853059791052966247858808864512733354075669896885305382937909942428572222748668550250404113299538092978776375681437118627231336243195796042047163643610625242322749422302774164936272588195969193757535472878331528557298017624873572, 4028451743536848177108009703901100979228530815586950045560853059791052966247858808864512733354075669896885305382937909942428572222748668550250404113299538092978776375681437118627231336243195796042047163643610625242322749422302774164936272588195969193757535472878331528557298017624873572
8, 1000, 4, 19.6, 461, 19, 365661957348511594522645284132381428002189141262402169885750972940933377939218979261410045764753234509395973968292293906239752346729039999191287816947156870439694139936197682392285748167249766950679385576878607212479979722460665130276580206091360836405676307888998100216088260427863311766, 365661957348511594522645284132381428002189141262402169885750972940933377939218979261410045764753234509395973968292293906239752346729039999191287816947156870439694139936197682392285748167249766950679385576878607212479979722460665130276580206091360836405676307888998100216088260427863311766
8, 1000, 4, 19.6, 412, 42, 1631010169613973673339485872931090879257169734162517304301532864459892971850736443198238574761516913658680390260120263660320842867819491189514719437198565038193812431500206413744196809619379812941169518681989644169422951102709943099715394793073761992434640580810719144593775143872218554200041596529290, 1631010169613973673339485872931346414353863440700548696335694242085605909359475226464513959782666222871737104581775232245554323340323889734432562204365839027975075280675644828962616605710016563137330494081967073629016261365295737882638666469401606198598263213598484627527478446972825580362552069602080
8, 1000, 4, 19.6, 494, 20, 124259664770433807923261263216048481215699788367155779266923621305964347926798853850501586666005711522661759283065806512433117460669963554701598137216686254504818896750025228523773919275485379443094494793832886893556616970535170279069611879540491777952420806239650672857989633, 124259664770433807923261263216048481215699788367155779266923621305964347926798853850501586666005711522661759283065806512433117460669963554701598137216686254504818896750025228523773919275485379443094494793832886893556616970535170279069611879540491777952420806239650672857989633
8, 1000, 4, 19.6, 435, 15, 204208592198318650392471105766670800364114228886801265868866530104213914612190555900675494737071610678593862981149610297292887123772263476455234652456476242823114503791321179369113461859934835693287311164885144322622834510041491819390208114318320134611, 204208592198318650392471105766670800364114228886801265868866530104213914612190555900675494737071610678593862981149610297292887123772263476455234652456476242823114503791321179369113461859934835693287311164885144322622834510041491819390208114318320134611
8, 1000, 4, 19.6, 653, 17, 1257089263810430257655780975236487679631407308196495556243414094878650540597584230403971852252981503984782697544035403723004244591899562573886551028030913007220312092262967653937596354662179255774226533410366158032508329120904259862423946257128134222274788664449872572486379, 1257089263810430257655780975236487679631407308196495556243414094878650540597584230403971852252981503984782697544035403723004244591899562573886551028030913007220312092262967653937596354662179255774226533410366158032508329120904259862423946257128134222274788664449872572486379
8, 1000, 4, 19.6, 547, 37, 67380809793215133315295034585078780171910836894520215346897434467928808210423647599783014090254539738153026001135373830463818204033932256049639438009484457590036578598504425872311314652123965315184304325073101493297151547083167505143601719643858584804678450938084932339706601086313955337071, 67380809793215133315295034585078780171910836894520215346897434467928808210423647599783014090254539738153026001135373830463818204033932256049639438009484457590036578598504425872311314652123965315184304325073101493297151547083167505143601719643858584804678450938084932339706601086313955337071
8, 1000, 4, 19.6, 430, 26, 33757254708707270780401235904409271730051515738597451490896839645758240236940893606148835533132636515936276031946043545344874197365451660265133880288426458799860107067286693714464108536332984618008595504487652990960579774115840480390799556030440813599375057060427811378566996578636, 33757254708707270780401235904409271730051515738597451490896839645758240236940893606148835533132636515936276031946043545344874197365451660265133880288426458799860107067286693714464108536332984618008595504487652990960579774115840480390799556030440813599375057060427811378566996578636
8, 1000, 4, 19.6, 533, 33, 16553296989664996512305078814625673575679882383357735313803528094868339694076166096733393000690736186277118801912771010492521902843025783139276393230806636713502597719028969656483393381956251542996235154819358461974400530330598303185564822610878715521148646101371800662817876454789199437676168462, 16553296989664996512305078814625673575679882383357735313803528094868339694076166096733393000690736186277118801912771010492521902843025783139276393230806636713502597719028969656483393381956251542996235154819358461974400530330598303185564822610878715521148646101371800662817876454789199437676168462
8, 1000, 4, 19.6, 465, 17, 7779089507993393000535277943391329763176807046470652556076794862215421419796163650459968947489867852300301924677598334495927434468534799118824970256686873927444198843087412990271307375000540074504971344280059997100695992129186746973034429246144474458384398632777811741400830494, 7779089507993393000535277943391329763176807046470652556076794862215421419796163650459968947489867852300301924677598334495927434468534799118824970256686873927444198843087412990271307375000540074504971344280059997100695992129186746973034429246144474458384398632777811741400830494
8, 1000, 4, 19.6, 417, 16, 2018695421350518189787710424846751325059168113567138634255767331078821064747926313109103262911501400695857058305578597679312382293994000817614933763537257938219803794910235735342355470789465703348401118353909655934454063580075991639918341905124145533458913990526083005144966, 2018695421350518189787710424846751325059168113567138634255767331078821064747926313109103262911501400695857058305578597679312382293994000817614933763537257938219803794910235735342355470789465703348401118353909655934454063580075991639918341905124145533458913990526083005144966
8, 1000, 4, 19.6, 729, 33, 77202546439215630218459341525811868574571192784291087799250215750043413524455680027920179991893300989599236802580032826395402872809804053356452723833755076045498093063484599127082272469261182548259086830026974932467172075488036588828476375160704493586400114682879724630820293552677345186750, 77202546439215630218459341525811868574571192784291087799250215750043413524455680027920179991893300989599236802580032826395402872809804053356452723833755076045498093063484599127082272469261182548259086830026974932467172075488036588828476375160704493586400114682879724630820293552677345186750
8, 1000, 4, 19.6, 511, 29, 274636905724189193209201843782964377604362363259688823136780766127107869039709553138157230831079318941780197416077503106066954781481874513505898056170978159421673624245113475473597955420551018235818061435782367453651026426486720697395894793452358071181548009876204873088250755617584585760773931, 274636905724189193209201843782964377604362363259688823136780766127107869039709553138157230831079318941780197416077503106066954781481874513505898056170978159421673624245113475473597955420551018235818061435782367453651026426486720697395894793452358071181548009876204873088250755617584585760773931
8, 1000, 4, 19.6, 777, 20, 12626023774009550669985766242494046420605417170990313814648791286448642143660436597545772282513986412306244160768103301417137131190497109587583659645441759970658426138694348707423910787185408708754066784632974389543749559804410306210817287415967920710611404527475938280726168051727, 12626023774009550669985766242494046420605417170990313814648791286448642143660436597545772282513986412306244160768103301417137131190497109587583659645441759970658426138694348707423910787185408708754066784632974389543749559804410306210817287415967920710611404527475938280726168051727
8, 1000, 4, 19.6, 602, 20, 2083489347152416857134750048221001868134878918457260602750169993144559525403820649854668825252754823687172722301313462227214807913462686795168724425928756442507579462539836666352405772824068998469822087499308949380261608210513733195883839779479837254240359330785953908271947904077803, 2083489347152416857157221813860208515402175295796524462097293706948800932700804357640903176378822613579785667406331224174721062655593779284071760621505233256934259224473672778918333872389503851123921112213873027833918257811830589424704561579943419901706285551301268941379136483819962
8, 1000, 4, 19.6, 440, 24, 1517818071548905584388613494752385507822432682131577274926451108436491342870062144729379781271364412541124342987229744247544902231132449157342764202788087029060885971752556029933933292759963483496986590417755190581131566960424573099720791327976190347831963596022419119847084836756073839, 1517818071548905584388613494752385507822432682131577274926451108436491342870062144729379781271364412541124342987229744247544902231132449157342764202788087029060885971752556029933933292759963483496986590417755190581131566960424573099720791327976190347831963596022419119847084836756073839
8, 1000, 4, 19.6, 467, 35, 1378309879419362606661812728712272713031347985722738988985444871142249485946550381727649892872672081040477819183084101397919330576194466140577241410477640141873674359185235705009422222331114993106966687526441728811580167728889465932056675655566691253357363136221734574069002657615081029277893170811, 1378309879419362606661812728712272713031347985722738988985444871142249485946550381727649892872672081040477819183084101397919330576194466140577241410477640141873674359185235705009422222331114993106966687526441728811580167728889465932056675655566691253357363136221734574069002657615081029277893170811
8, 1000, 4, 19.6, 449, 40, 250825885006763124602129442367409703012449667104887117373718546436534526647604336044891552846231794046332170716303803902141224671820253858491278230785219902614078123567509072125379094757822018348964692940922390936440705490051260266973743877036780899478688860075748731946179452307406130566639732011031, 250825885006763124602129442367409703012449667104887117373718546436534526647604336044891552846231794046332170716303803902141224671820253858491278230785219902614078123567509072125379094757822018348964692940922390936440705490051260266973743877036780899478688860075748731946179452307406130566639732011031
8, 1000, 4, 19.6, 532, 16, 4380188125683748229964276785692509957386287799304179540931704822275616430037002541408130921384181134147118738647817300827470634298357164596267903261944622852832307596397591115801398911280023198554109421855959761307983512704752174978724550959120681507265710459024850539046860760376, 4380188125683748229964276785692509957386287799304179540931704822275616430037002541408130921384181134147118738647817300827470634298357164596267903261944622852832307596397591115801398911280023198554109421855959761307983512704752174978724550959120681507265710459024850539046860760376
8, 1000, 4, 19.6, 520, 19, 16496648879543238512266119200313521198572944377319096367869707314987373367526744222596414787514937535261705886574192521972345090523450325981144608620115160889845871082385447254690449252798539498631273887026788140194439690433864500719064110366601459645967564693423723358543562, 16496648879543238512266119200313521198572944377319096367869707314987373367526744222596414787514937535261705886574192521972345090523450325981144608620115160889845871082385447254690449252798539498631273887026788140194439690433864500719064110366601459645967564693423723358543562
8, 1000, 4, 19.6, 694, 30, 16424411922500035840093763388329012334326709300385950337757036467578464287180869216665693692713337917884033836301347713032999661723120409158383326987116640082326647302975062843163678604686356165596471723964200181854602581349496482208287779493919498444178797236096855401851477556011989, 16424411922500035840093763388329012334326709300385950337757036467578464287180869245252708706597582937802365140110713562655260914863721518059308252495443216905663358644606290598007726315534522190760020041964412630799225307317813856718237798768126024273832990809855404419392481910865954
8, 1000, 4, 19.6, 725, 22, 2352608249478873533207461745964628987371341989662176189481245424996956713392013642210561021899623211546914920351628604843358699321010792870904118420441895793995075985022503779714014517002844349306266351123341459108780298277841745031541581734598034248088903473084925413266844915817170, 2352608249478873533207461745964628987371341989662176189481245424996956713392013642210561021899623211546914920351628604843358699321010792870904118420441895793995075985022503779714014517002844349306266351123341459108780298277841745031541581734598034248088903473084925413266844915817170
8, 1000, 4, 19.6, 692, 19, 98711529333635886613008523965826355569693331042745396071480894003989610777839541434030718880983179109784945185089401457831965048856683704681982791149915233656710747102474949770193894849309361658047215419032435332641815423450448172913109117160306900487450182423864337369025359616, 98711529333635886613008523965826355569693331042745396071480894003989610777839541434030718880983179109784945185089401457831965048856683704681982791149915233656710747102474949770193894849309361658047215419032435332641815423450448172913109117160306900487450182423864337369025359616
8, 1000, 4, 19.6, 519, 38, 28427127034172419337584539470161795093325537161134228097230306168655786341008078597880714086778771542457461903435381410226355002063680774427304132295844729755354434866199103355160557704011284968397706861054125210864408455284844498032382460079823785167538901379462576161931583522617156099877250469359, 28427127034172419337584539470161795093325537161134228097230306168655786341008078597880714086778771542457461903435381410226355002063680774427304132295844729755354434866199103355160557704011284968397706861054125210864408455284844498032382460079823785167538901379462576161931583522617156099877250469359
8, 1000, 4, 19.6, 794, 15, 174199973683778275661619072352074078486419612822557665592295374818431725275034980244038161861557096103757502154882707786671744866001699399419295000867565193681844330161377692576832401639083077590761009092797525316274673794963522269219884746077261353182420396155303232475459415466, 174199973683778275661619072352074078486419612822557665592295374818431725275034980244038161861557096103757502154882707786671744866001699399419295000867565193681844330161377692576832401639083077590761009092797525316274673794963522269219884746077261353182420396155303232475459415466
8, 1000, 4, 19.6, 713, 20, 2424115071905450016937731711246382844438975660738541921369657815195271721095267620090879975924098247118363675197144443942128075993328507455904091345912450830483651018071295758353656098817836885279400556010273676705142728096312894648833905339012140289082289708313177387092017081, 2424115071905450016937731711246382844438975660738541921369657815195271721095267620090879975924098247118363675197144443942128075993328507455904091345912450830483651018071295758353656098817836885279400556010273676705142728096312894648833905339012140289082289708313177387092017081
8, 1000, 4, 19.6, 1147, 21, 4559239004248477110424239631031407480003193488485618465625204535546905383093624429699532899258516884484918238235619369668448631822920146611072389390121925612966616877082459727823822783549021894516607992011745761209683111467663170944223172268648272387089666746198814032634281982707858598, 4559239004248477110424239631031407480003193488485618465625204535546905383093624429699532899258516884484918238235619369668448631822920146611072389390121925612966616877082459727823822783549021894516607992011745761209683111467663170944223172268648272387089666746198814032634281982707858598
