dimension, vertices, ave_degree, maxBitLength, epsilon, mosp, fptas_mosp, diff_cost
8, 800, 6, 800, 0.05, 11611, 27, 0
8, 800, 6, 800, 0.05, 9314, 38, 0
8, 800, 6, 800, 0.05, 7966, 29, 0
8, 800, 6, 800, 0.05, 15786, 27, 0
8, 800, 6, 800, 0.05, 11196, 36, 0
8, 800, 6, 800, 0.05, 13071, 48, 0
8, 800, 6, 800, 0.05, 22498, 33, 0
8, 800, 6, 800, 0.05, 12711, 31, 0
8, 800, 6, 800, 0.05, 8313, 52, 0
8, 800, 6, 800, 0.05, 11839, 24, 0
8, 800, 6, 800, 0.05, 14127, 20, 0
8, 800, 6, 800, 0.05, 14399, 24, 0
8, 800, 6, 800, 0.05, 10815, 23, 0
8, 800, 6, 800, 0.05, 9438, 34, 0
8, 800, 6, 800, 0.05, 5623, 19, 0
8, 800, 6, 800, 0.05, 13104, 45, 0
8, 800, 6, 800, 0.05, 8000, 21, 0
8, 800, 6, 800, 0.05, 19949, 38, 0
8, 800, 6, 800, 0.05, 8215, 59, 0
8, 800, 6, 800, 0.05, 12106, 22, 0
8, 800, 6, 800, 0.1, 13937, 22, 0
8, 800, 6, 800, 0.1, 11306, 22, 0
8, 800, 6, 800, 0.1, 13990, 26, 0
8, 800, 6, 800, 0.1, 13564, 23, 0
8, 800, 6, 800, 0.1, 10519, 20, 0
8, 800, 6, 800, 0.1, 11746, 23, 0
8, 800, 6, 800, 0.1, 9146, 45, 0
8, 800, 6, 800, 0.1, 7856, 26, 20243935301628772894986446089118498657891015062385692912747243025502245056107251182937390526165789141223197107447926494856016210292285935733536098422627574928128175858803328590319940816496784813738215139190724085801493
8, 800, 6, 800, 0.1, 20787, 24, 0
8, 800, 6, 800, 0.1, 10588, 24, 0
8, 800, 6, 800, 0.1, 7866, 39, 4506536471608855531891690064555267348088872684460157873537984586517789555326798639899251137252693608595073296997720858643030398519007194710970969810170228104217791929264992649642119903962267658641480
8, 800, 6, 800, 0.1, 8508, 25, 0
8, 800, 6, 800, 0.1, 30197, 63, 0
8, 800, 6, 800, 0.1, 10576, 31, 0
8, 800, 6, 800, 0.1, 11055, 25, 0
8, 800, 6, 800, 0.1, 10254, 19, 0
8, 800, 6, 800, 0.1, 12454, 32, 0
8, 800, 6, 800, 0.1, 20675, 19, 0
8, 800, 6, 800, 0.1, 15274, 26, 0
8, 800, 6, 800, 0.1, 10053, 26, 0
8, 800, 6, 800, 0.15, 16747, 23, 0
8, 800, 6, 800, 0.15, 9079, 37, 0
8, 800, 6, 800, 0.15, 15712, 28, 0
8, 800, 6, 800, 0.15, 9676, 22, 0
8, 800, 6, 800, 0.15, 14910, 36, 0
8, 800, 6, 800, 0.15, 16559, 24, 0
8, 800, 6, 800, 0.15, 15249, 26, 0
8, 800, 6, 800, 0.15, 17800, 34, 0
8, 800, 6, 800, 0.15, 11843, 26, 0
8, 800, 6, 800, 0.15, 23305, 47, 0
8, 800, 6, 800, 0.15, 12285, 25, 0
8, 800, 6, 800, 0.15, 6836, 19, 0
8, 800, 6, 800, 0.15, 15494, 21, 0
