dimension,vertices,max_bit_length,epsilon,time_mosp,time_fptas,eval_mosp,eval_fptas
10,1000,500,0.2,874,35,38746979542711517638903984936683897037477226110494216477878833375100358731556736538539585868039527137872279441457513368999223601566756390613074,38746979542711517638903984936683897037477226110494216477878833375100358731556736538539585868039527137872279441457513368999223601566756390613074
10,1000,500,0.2,810,31,197425403052411966893023554858616693673375176926157136442586440249240769930860639182204292862382965535678339015825751984094808367712812239022058,197425403052411966893023554858616693673375176926157136442586440249240769930860639182204292862382965535678339015825751984094808367712812239022058
10,1000,500,0.2,796,27,83196911899894711581460465323001313495310991088323461497455504521153528300755423110488273456563083818020038263183854328191289225062795907003,83196911899894711581460465323001313495310991088323461497455504521153528300755423110488273456563083818020038263183854328191289225062795907003
10,1000,500,0.2,825,19,4664773510433959262427641006920052081561854708792828817765817513145087751432766077284458298104987651826061855243045693440411573215917524,4664773510433959262427641006920052081561854708792828817765817513145087751432766077284458298104987651826061855243045693440411573215917524
10,1000,500,0.2,829,37,1089037462229658478411886420002287389072541213029823793650808923912335954329173557078494149351013993866092098468403673872658564748013122038829910,1089037462229658478411886420002287389072541213029823793650808923912335954329173557078494149351013993866092098468403673872658564748013122038829910
10,1000,500,0.2,830,31,13949594757449785007517485195282490262652253423466224495101317028393616263311049158482551865227764382511449740221670656340453211306725,13949594757449785007517485195282490262652253423466224495101317028393616263311049158482551865227764382511449740221670656340453211306725
10,1000,500,0.2,829,37,65343165716388282914231171847124997859650348830688286472139358018998263144862737963533656217081776813715702485973521106131725284111105378192059200,65343165716388282914231171847837533466214535010838005455166402295554564494387444353069661105526533955862846995318177846560447042543853457797833981
10,1000,500,0.2,812,29,58893471678548833458655368001645212852979934729619891255178939084172498811672992241013513472280301422476882761160252684111465138122598857474622,58893471678548833458655368001645212852979934729619891255178939084172498811672992241013513472280301422476882761160252684111465138122598857474622
10,1000,500,0.2,752,40,666198239857716697706909780774098192472227246597098082975111863600095234101390081984307251941180526735223669960223732364875752009993882340299364,666198239857716697706909780774098192472227246597098082975111863600095234101390081984307251941180526735223669960223732364875752009993882340299364
10,1000,500,0.2,837,28,17368942154785496942000982616369368332005482060848542831469429399285999105430362617006056058861622880875830686881152546204716589308076557491427,17368942154785496942000982616369368332005482060848542831469429399285999105430362617006056058861622880875830686881152546204716589308076557491427
